Region,Province,TypeOfWork,FundingYear,ApprovedBudgetForContract,ContractCost,ActualCompletionDate,StartDate,Contractor,ContractId,ProjectId,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2023,96500000,93386847.09,3/15/2024,6/22/2023,TAGEL CORPORATION / AQUILA CONSTRUCTION CO.,23PC0037,P00735965LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2022,82025000,79576285.45,7/31/2023,3/31/2022,ASC CONSTRUCTION & CONCRETE PRODUCTS / ISNAG BUILDERS & DEV'T. CORPORATION,22PC0014,P00620802LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2023,96500000,96481880.32,4/3/2024,5/5/2023,TAGEL CORPORATION,23PC0029,P00726399LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2022,77200000,77189689.42,3/20/2023,3/31/2022,ASC CONSTRUCTION & CONCRETE PRODUCTS,22PC0007,P00620807LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2023,96500000,96483381.66,12/15/2023,4/5/2023,ASC CONSTRUCTION & CONCRETE PRODUCTS,23PC0027,P00726402LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2023,86850000,83452531.58,12/15/2023,4/14/2023,ASC CONSTRUCTION & CONCRETE PRODUCTS,23PC0034,P00726401LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2022,82025000,79564241.95,10/9/2023,3/31/2022,ASC CONSTRUCTION & CONCRETE PRODUCTS,22PC0056,P00620810LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2023,96500000,96500000,7/10/2024,4/25/2023,ASC CONSTRUCTION & CONCRETE PRODUCTS,23PC0040,P00735964LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2023,96500000,96493463.88,3/20/2024,5/5/2023,ISNAG BUILDERS & DEV'T. CORPORATION / TAGEL CORPORATION,23PC0032,P00726400LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2023,14700000,14243240.81,2/27/2024,5/30/2023,ASC CONSTRUCTION & CONCRETE PRODUCTS,23PC0066,P00742287LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2022,23871900.8,23872800,11/28/2022,4/4/2022,TAGEL CORPORATION,22PB0018,P00620987LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2022,24499413.08,24500000,3/28/2023,4/4/2022,OMENGAN CONSTRUCTION & DEVELOPMENT CORPORATION,22PB0024,P00637064LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2022,24499866.44,24500000,4/30/2023,5/3/2022,OMENGAN CONSTRUCTION & DEVELOPMENT CORPORATION,22PB0023,P00637065LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Revetment,2023,49000000,49000000,9/8/2023,2/19/2023,TAGEL CORPORATION / E.C.V. CONSTRUCTION,23PB0002,P00726654LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Revetment,2023,49000000,49000000,11/22/2023,4/6/2023,PBO CONSTRUCTION COMPANY / R.S. SEPIAN CONSTRUCTION & TRUCKING,23PB0017,P00726098LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Revetment,2023,49000000,49000000,12/7/2023,4/6/2023,CMG JR. BUILDERS / PRIME MASTER CONST. AND DEV'T. CORP.,23PB0014,P00726653LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2021,81078319.98,80869305.14,12/20/2022,6/23/2021,KVC CONSTRUCTION / UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,21PE0056,P00525553LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2021,96487461.5,96500000,3/15/2023,7/2/2021,TRYST BUILDERS ENTERPRISES / RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,21P00063,P00561461LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2021,96486192.7,96500000,9/3/2022,1/7/2022,RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,21P00065,P00561458LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2021,96496794.18,96500000,12/3/2022,1/7/2022,JOMARCANN GENERAL CONSTRUCTION / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),21P00064,P00561459LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2021,96495738.04,96372298.9,12/8/2022,1/7/2022,RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE / KALAHAN GENERAL CONSTRUCTION AND SUPPLIES,21P00084,P00561460LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2021,96493651,96500000,9/3/2022,1/7/2022,4RMCONSTRUCTION & SUPPLIES / R.S. SEPIAN CONSTRUCTION & TRUCKING,21P00050,P00561462LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2021,29400000,23831587.47,12/14/2022,1/16/2022,MALCO CONSTRUCTION,21PF0022,P00525907LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2021,9800000,9750603.31,7/2/2022,1/16/2022,DONATO - SAKIWAT CONSTRUCTION,21PF0024,P00525909LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2021,9800000,9505756.45,12/8/2022,1/16/2022,TIMENCLEAN BUILDERS AND AGGREGATES,21PF0031,P00525910LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2021,29400000,29377392.06,7/18/2022,1/16/2022,BTCJR CONSTRUCTION AND ENGINEERING SERVICES,21PF0017,P00526376LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2021,9800000,8704178.48,9/2/2022,1/18/2022,AKIP CONSTRUCTION AND ENTERPRISE,21PF0021,P00525914LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2021,19600000,19600000,7/22/2022,1/19/2022,AAAL CONSTRUCTION,21PF0016,P00526380LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2021,29400000,29400000,10/20/2022,2/20/2022,LAYAD GENERAL ENGINEERING CONSTRUCTION AND AGGREGATES,21PF0025,P00525908LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2021,29400000,29400000,9/29/2022,2/27/2022,NORJOHN CONSTRUCTION,21PF0026,P00526377LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2021,11649260,11489414.45,12/2/2022,3/13/2022,FAMILY CIRCLE CONSTRUCTION,21PF0030,P00525911LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,24500000,24487767.7,11/25/2022,1/31/2022,D.G.O. CONSTRUCTION,22PE0010,P00620473LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,24500000,24489189.7,8/11/2022,1/31/2022,D.G.O. CONSTRUCTION,22PE0011,P00620474LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,2940000,2930210.39,11/8/2022,7/11/2022,POLO ENGINEERING & CONSTRUCTION,22PE0073,P00639443LZ,,,,,,,,,,,,,
XIV,Benguet,Rehabilitation / Major Repair of Drainage Structure,2022,2940000,2934796.4,2/7/2023,10/21/2022,8-10 NEHEMIAH CONSTRUCTION,22PE0155,P00639452LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2023,77200000,77190000,11/12/2023,2/27/2023,MG SAMIDAN CONSTRUCTION / JMJD CONSTRUCTION AND AGGREGATES,23PE0016,P00726406LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2023,96500000,96480000,12/22/2023,2/27/2023,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,23PE0018,P00726407LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2024,86850000,86820000,11/22/2024,2/21/2024,AKSUM CONTRACTING CORPORATION,24PE0025,P00821126LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,24500000,24447245.69,7/29/2022,1/31/2022,CABUGUIASAN BUILDERS,22PE0009,P00620996LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,24500000,24445135.58,11/14/2022,5/10/2022,CABUGUIASAN BUILDERS,22PE0008,P00620997LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,9800000,9679857.68,11/21/2022,7/19/2022,AROBOAN CONSTRUCTION AND SUPPLY,22PE0066,P00639447LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,9800000,9793460.31,1/24/2023,7/26/2022,AROBOAN CONSTRUCTION AND SUPPLY,22PE0071,P00639448LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,2940000,2919512.6,12/20/2022,8/16/2022,QPJ GENERAL ENGINEERING CONSTRUCTION AND SUPPLY,22PE0099,P00639441LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,2940000,2937836,11/11/2022,9/19/2022,CHRISHUA CONSTRUCTION SERVICES,22PE0145,P00639450LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2024,39200000,39193427.02,10/8/2024,2/21/2024,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,24PE0024,P00821531LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2024,29400000,29396000,11/19/2024,4/18/2024,CHRISHUA CONSTRUCTION SERVICES,24PE0039,P00820735LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,24500000,24500000,8/12/2022,1/31/2022,GSIXTY CONSTRUCTION SERVICES,22PE0002,P00620999LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,24500000,24500000,11/12/2022,5/10/2022,CLIFF CONSTRUCTION & AGGREGATES,22PE0012,P00620995LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,24500000,24500000,3/15/2023,5/10/2022,GSIXTY CONSTRUCTION SERVICES,22PE0001,P00620998LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,1960000,1957356.76,9/14/2022,7/18/2022,NINETY ONE BUILDERS,22PE0078,P00639442LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,5390000,5289578.4,11/4/2022,7/18/2022,NINETY ONE BUILDERS,22PE0072,P00639446LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Slope Protection Structure,2022,2940000,2936230.11,11/12/2022,9/19/2022,CLEB CONSTRUCTION,22PE0076,P00639444LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2024,59830000,59820000,11/25/2024,3/19/2024,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES / TSAI SHEN CONSTRUCTION,24PE0010,P00821130LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,24500000,24113608.31,8/5/2022,1/31/2022,SEJ CONSTRUCTION & AGGREGATES,22PE0005,P00621001LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,12740000,12523558.95,10/18/2022,1/31/2022,J-NINE-INFINITY BUILDERS AND SUPPLIES,22PE0004,P00621002LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2024,84920000,84877709.32,3/2/2025,6/3/2024,MG SAMIDAN CONSTRUCTION,24PE0054,P00824846LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Drainage Structure,2022,49000000,49000000,11/7/2022,2/11/2022,GOLDRICH CONSTRUCTION & TRADING,22PD0020,P00620993LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Drainage Structure,2022,17640000,16673974.44,10/13/2022,3/13/2022,A.R.J. CIVIL ENGINEERING CONSTRUCTION,22PD0021,P00620994LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Revetment,2022,49000000,49000000,1/20/2023,3/21/2022,GOLDRICH CONSTRUCTION & TRADING,22PD0019,P00620992LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Revetment,2022,49000000,49000000,1/20/2023,4/10/2022,GOLDRICH CONSTRUCTION & TRADING,22PD0018,P00620991LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2023,82025000,82025000,11/27/2023,2/10/2023,GOLDRICH CONSTRUCTION & TRADING,23PD0055,P00726403LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Revetment,2023,126200000,77200000,11/27/2023,2/10/2023,GOLDRICH CONSTRUCTION & TRADING,23PD0057,P00726404LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Revetment,2023,67550000,67550000,11/27/2023,2/10/2023,GOLDRICH CONSTRUCTION & TRADING,23PD0056,P00726405LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Revetment,2023,Clustered with Contract ID 23PD0057,49000000,11/27/2023,2/10/2023,GOLDRICH CONSTRUCTION & TRADING,23PD0057,P00726656LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2024,96500000,96500000,7/29/2024,2/13/2024,GOLDRICH CONSTRUCTION & TRADING,24PD0024,P00821132LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2024,145500000,96500000,7/29/2024,3/15/2024,GOLDRICH CONSTRUCTION & TRADING,24PD0027,P00821133LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2024,Clustered with Contract ID 24PD0027,49000000,7/29/2024,3/15/2024,GOLDRICH CONSTRUCTION & TRADING,24PD0027,P00821529LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,24500000,24500000,11/6/2022,3/7/2022,JUDAN BUILDERS,22PF0023,P00620478LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,24500000,24500000,10/13/2022,4/12/2022,M.P. TABERAO CONSTRUCTION SERVICES AND SUPPLIES,22PF0021,P00620476LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,19600000,19600000,9/30/2022,4/17/2022,APAKLO KIN CONSTRUCTION AND ENG'G SERVICES,22PF0050,P00639457LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,24500000,24500000,9/5/2022,3/7/2022,OLSIM CONSTRUCTION,22PF0024,P00620479LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,51920860,51857438.1,10/17/2022,3/8/2022,ALMOND ENGINEERING & CONSTRUCTION / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),22PF0025,P00620809LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,2940000,2934995.04,10/16/2022,6/20/2022,QPJ GENERAL ENGINEERING CONSTRUCTION AND SUPPLY,22PF0092,P00639454LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2021,51660310,51660310,10/27/2022,4/11/2022,GOLDRICH CONSTRUCTION & TRADING,21PD0031,P00525552LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,24500000,24469548.92,11/24/2022,4/12/2022,BTCJR CONSTRUCTION AND ENGINEERING SERVICES,22PF0022,P00620477LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,49000000,48990442.38,5/27/2023,8/15/2022,CABUGUIASAN BUILDERS,22PF0110,P00639460LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2023,72375000,72375000,10/23/2023,5/11/2023,JYP GENERAL CONSTRUCTION / R.S. SEPIAN CONSTRUCTION & TRUCKING,23PF0013,P00726408LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2023,72375000,72324030.27,12/22/2023,5/22/2023,MG SAMIDAN CONSTRUCTION / JAN-REAL CONSTRUCTION SERVICES,23PF0012,P00726409LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2023,96500000,96500000,12/26/2023,5/29/2023,MG SAMIDAN CONSTRUCTION / GELLE CONSTRUCTION SERVICES,23PF0025,P00726410LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2024,29400000,29352752.8,7/25/2024,4/2/2024,NORJOHN CONSTRUCTION,24PF0027,P00821532LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2024,49500000,49480290,8/21/2024,4/29/2024,ALMOND ENGINEERING & CONSTRUCTION,24PF0037,P00845925LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2024,67550000,67462363.43,7/25/2024,5/15/2024,DJY CONSTRUCTION / NORJOHN CONSTRUCTION,24PF0020,P00821131LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2024,62725000,62628581.73,10/22/2024,6/14/2024,DJY CONSTRUCTION / NORJOHN CONSTRUCTION,24PF0029,P00821129LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2024,19600000,19550030.78,11/20/2024,7/1/2024,GELLE CONSTRUCTION SERVICES,24PF0034,P00821533LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,29400000,29400000,11/18/2022,4/17/2022,M.P. TABERAO CONSTRUCTION SERVICES AND SUPPLIES,22PF0049,P00639458LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,24500000,23765066.81,11/11/2022,5/10/2022,CLIFF CONSTRUCTION & AGGREGATES,22PE0007,P00621000LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,19600000,19510507.33,11/29/2022,6/22/2022,POLO ENGINEERING & CONSTRUCTION,22PE0042,P00639445LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,9800000,9789790.48,12/5/2022,6/22/2022,AG CHUNGALAN CONSTRUCTION,22PE0052,P00639449LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2024,39200000,39197620.93,10/28/2024,6/3/2024,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,24PE0044,P00821530LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2024,69300000,69235331.85,12/16/2024,6/19/2024,M.P. TABERAO CONSTRUCTION SERVICES AND SUPPLIES,24PE0063,P00848608LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2022,9800000,9789992.93,12/22/2022,6/14/2022,TRIBAL MOVERS CONSTRUCTION,22PF0088,P00639459LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Slope Protection Structure,2022,14700000,14688347,12/1/2023,9/7/2022,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,22PE0093,P00639451LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Slope Protection Structure,2023,19557230.5,19600000,9/20/2023,5/8/2023,JLY CONSTRUCTION,23PJ0013,P00736180LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2024,14700000,14691603,6/19/2024,2/26/2024,LAYAD GENERAL ENGINEERING CONSTRUCTION AND AGGREGATES,24PF0023,P00820736LZ,,,,,,,,,,,,,
XIV,Benguet,Construction of Flood Mitigation Structure,2024,14700000,14670528.86,9/23/2024,6/20/2024,DJ AND C CONSTRUCTION SERVICES,24PF0033,P00824668LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2021,97999827.95,96497238.95,9/24/2022,12/28/2021,ST. TIMOTHY CONSTRUCTION CORPORATION,21PA0254,P00561502LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2021,98000000,96497003.85,9/24/2022,12/28/2021,ST. TIMOTHY CONSTRUCTION CORPORATION,21PA0232,P00561504LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2021,98000000,96497977.23,9/26/2022,12/28/2021,"PHESCO, INCORPORATED",21PA0252,P00561506LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2021,98000000,96498000,9/24/2022,12/28/2021,SEJ CONSTRUCTION & AGGREGATES / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),21PA0221,P00561509LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2021,97999911.98,96498000,10/1/2022,12/28/2021,"PHESCO, INCORPORATED",21PA0225,P00561512LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2021,97999983.85,96496961.02,11/21/2022,12/28/2021,739 BUILDERS,21PA0237,P00561517LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2021,48999808.84,48997500,7/12/2022,1/7/2022,ST. TIMOTHY CONSTRUCTION CORPORATION,21PA0220,P00561497LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2021,49000000,48997244.21,9/7/2022,1/7/2022,R.A. FANGLAYAN (RAF) GENERAL CONSTRUCTION INC. (FORMERLY:RAF GENERAL CONSTRUCTION),21PA0247,P00561500LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2021,48999985.61,48997000,7/24/2022,1/7/2022,ST. TIMOTHY CONSTRUCTION CORPORATION,21PA0235,P00561511LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2021,48999958.81,48998000,7/21/2022,1/7/2022,"PHESCO, INCORPORATED",21PA0224,P00561513LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2021,97999929.55,96500000,10/8/2022,1/11/2022,739 BUILDERS,21PA0226,P00561499LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2021,97999951.72,96497024.03,7/21/2022,1/13/2022,ST. TIMOTHY CONSTRUCTION CORPORATION,21PA0242,P00561505LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2021,97999990,96497036.15,7/28/2022,1/17/2022,ST. TIMOTHY CONSTRUCTION CORPORATION,21PA0253,P00561514LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2021,48999802.15,48997193.69,10/5/2022,1/20/2022,R.A. FANGLAYAN (RAF) GENERAL CONSTRUCTION INC. (FORMERLY:RAF GENERAL CONSTRUCTION),21PA0236,P00561489LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2021,29399855.69,29397900,11/16/2022,3/29/2022,ST. TIMOTHY CONSTRUCTION CORPORATION,21PA0233,P00561519LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2021,29400000,29397162.42,9/19/2022,3/29/2022,A.D. MARRERO GENERAL CONSTRUCTION,21PA0244,P00561520LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2022,49000000,48997500,7/21/2022,1/7/2022,ST. TIMOTHY CONSTRUCTION CORPORATION,21PA0240,P00632782LZ,,,,,,,,,,,,,
XIV,Abra,Construction of Flood Mitigation Structure,2022,48999972.12,48997900,10/22/2022,3/16/2022,ST. TIMOTHY CONSTRUCTION CORPORATION,22PA0076,P00620985LZ,,,,,,,,,,,,,
